use_sim_time,graph,init_bots,priority_nodes,init_locations,done,sim_length,random_string,algo_name,parameters,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
True,cair,4,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,414035791 1154147727 1563324357 cluster_1563324010_1563324356,False,20000,ppa_greedy_cair_92_0,ppa_greedy,0,72.9731930070163,45.67601619919004,83.47210716387258,649,307,649,2.057834729691485
True,cair,3,1563324324 1154147728 1563324349 1563324336,1563324336 1563324349 1154147728,False,20000,ppa_greedy_cair_15_0,ppa_greedy,0,116.91201944444444,57.338875,133.93291785714283,929,327,929,2.823188248431252
True,iitb,2,667357401 5366445083 667357361 1990860600 667357415 -22,667357415 1990860600,False,20000,ppa_greedy_iitb_70_0,ppa_greedy,0,352.32986788363763,243.2558222889056,388.6878830818816,3291,1604,3291,1.7847474899392426
True,grid_5_5,4,22 9 0 10 23 24,10 22 23 0,False,20000,ppa_greedy_grid_5_5_84_0,ppa_greedy,0,99.320149970006,88.91623341998266,102.60559730159233,715,519,715,1.3656499661689254
True,grid_5_5,1,0 15 20 4,4,False,20000,ppa_greedy_grid_5_5_73_0,ppa_greedy,0,328.50451425712856,199.7123311655828,353.03635865551826,1451,905,1451,1.9834660778998168
True,cair,1,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,1563324348,False,20000,ppa_greedy_cair_89_0,ppa_greedy,0,226.4866547795609,137.02602609608556,260.89458888858974,1772,555,1772,2.040543049434603
True,cair,3,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,cluster_1563324002_1563324346 1563324324 1563324348,False,20000,ppa_greedy_cair_51_0,ppa_greedy,0,96.67516281033984,44.45530356071215,111.59512259594776,796,271,796,3.0453558514210624
True,iitb,3,4369058864 -22 668685374 668620103 -222 667357401,-22 4369058864 -222,False,20000,ppa_greedy_iitb_35_0,ppa_greedy,0,249.69463476028537,152.9347119423885,281.947942366251,2298,923,2298,2.130181883109901
True,grid_5_5,3,22 9 0 10 23 24,23 10 22,False,20000,ppa_greedy_grid_5_5_83_0,ppa_greedy,0,123.14240351929617,108.78038558954874,127.67777760237426,703,604,703,1.3900911726481775
True,cair,1,1563324324 1154147728 1563324349 1563324336,1154147728,False,20000,ppa_greedy_cair_13_0,ppa_greedy,0,288.73946973486744,142.06628314157078,330.6460944758094,1919,674,1919,2.607748576079953
True,iitb,1,667357419 -266 667357412 4369058864 -222,4369058864,False,20000,ppa_greedy_iitb_29_0,ppa_greedy,0,720.8843882331365,329.0220066019806,824.0060676097565,5956,1696,5956,2.6968700283947133
True,grid_5_5,2,13 17 21 0,0 13,False,20000,ppa_greedy_grid_5_5_38_0,ppa_greedy,0,172.25169366126775,126.59618076384724,180.947981832205,845,611,845,1.557762323117651
True,iitb,3,3215340463 667357401 668685374 667357387,667357387 667357401 3215340463,False,20000,ppa_greedy_iitb_99_0,ppa_greedy,0,206.876079328566,140.9255638345752,220.0661824273641,2145,825,2145,1.8678440693836804
True,iitb,1,4369058864 -22 668685374 668620103 -222 667357401,4369058864,False,20000,ppa_greedy_iitb_33_0,ppa_greedy,0,682.2447992168624,399.4610597350662,776.5060457107945,6717,1635,6717,2.069985080692454
True,cair,4,1563324343 cluster_1563324010_1563324356 1154147728 1563324324 1563324348,cluster_1563324010_1563324356 1154147728 1563324324 1563324343,False,20000,ppa_greedy_cair_56_0,ppa_greedy,0,83.7018315750879,42.68976551172442,99.47570313792004,677,292,677,2.7008084819521883
True,cair,4,1563324327 cluster_1563324333_1563324337 cluster_1563324004_1563324334 1563324343,cluster_1563324004_1563324334 cluster_1563324333_1563324337 1563324327 1563324343,False,20000,ppa_greedy_cair_88_0,ppa_greedy,0,92.04323333333332,35.077575,108.31913571428572,973,287,973,4.372005525430568
True,grid_5_5,1,20 10 6 1 24 15,24,False,20000,ppa_greedy_grid_5_5_45_0,ppa_greedy,0,311.50195529329403,203.4878315080596,345.61167859389434,1694,770,1694,1.883159409111092
True,grid_5_5,1,17 19 21 13 14,19,False,20000,ppa_greedy_grid_5_5_41_0,ppa_greedy,0,666.8604321728691,224.74550820328133,777.389163165266,19991,1080,19991,3.7008731117024265
True,cair,3,1563324336 cluster_1563324333_1563324337 1563324327 1563324011 1563324348 cluster_1563324010_1563324356,cluster_1563324010_1563324356 1563324011 1563324327,False,20000,ppa_greedy_cair_59_0,ppa_greedy,0,89.14097243057638,48.91592492582591,109.25349618295162,628,317,628,2.5847375523428444
True,cair,2,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,1563324357 cluster_1563324010_1563324356,False,20000,ppa_greedy_cair_90_0,ppa_greedy,0,133.74155,89.22764,150.8622846153846,1013,481,1013,1.861117189176984
True,cair,2,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,cluster_1563324002_1563324346 1563324353,False,20000,ppa_greedy_cair_50_0,ppa_greedy,0,132.6042930808384,60.12074914982997,153.3138770611265,1090,338,1090,3.019380974884745
True,grid_5_5,1,13 17 21 0,13,False,20000,ppa_greedy_grid_5_5_37_0,ppa_greedy,0,296.6688862227555,226.80447660467905,309.9763928166747,1467,878,1467,1.4743954576754388
True,cair,2,1563324349 1563324343 1154147727 1563324348 1154147726 cluster_1563324004_1563324334,1154147726 cluster_1563324004_1563324334,False,20000,ppa_greedy_cair_22_0,ppa_greedy,0,157.48823114399835,59.76917820775628,206.3477576121194,1402,328,1402,3.955771078905944
True,iitb,3,667357419 -266 667357412 4369058864 -222,667357412 -266 -222,False,20000,ppa_greedy_iitb_31_0,ppa_greedy,0,279.0521713409655,134.3661950707394,317.1274282541829,2149,764,2149,2.755274506264217
True,grid_5_5,3,13 1 12 4,1 12 4,False,20000,ppa_greedy_grid_5_5_3_0,ppa_greedy,0,532.7857368526294,105.39434613077384,614.1936207996496,20003,641,20003,6.942244146976641
