,Algorithm,done,Graph,No. of Agents,Initial Locations,Parameters,Priority Nodes,Random String,sim_length,use_sim_time,Average Idleness,Priority Average Idleness,N. P. Average Idleness,Max Idleness,Priority Max Idleness,N. P.  Max Idleness,Average Ration,Depth,Sampling size
61,ppa_exhaustive,False,iitb,1,667357361,0,5882320075 -22 667357387 1990860598 667357361,ppa_exhaustive_iitb_65_0,20000,True,504.604471829226,406.368194770784,530.45612368671,3738,1411,3738,1.38253810920545,0,
62,ppa_exhaustive,False,grid_5_5,3,23 10 22,0,22 9 0 10 23 24,ppa_exhaustive_grid_5_5_83_0,20000,True,243.97689453418,237.550707606141,246.006216721982,979,974,979,1.18982569838454,0,
63,ppa_exhaustive,False,cair,4,1563324324 1563324353 cluster_1563324002_1563324346 1563324348,0,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,ppa_exhaustive_cair_52_0,20000,True,96.9824048142962,43.4731946389278,112.270750578687,818,289,818,3.44999781185669,0,
64,ppa_exhaustive,False,grid_5_5,3,15 20 0,0,0 15 20 4,ppa_exhaustive_grid_5_5_75_0,20000,True,236.495930813837,118.826272245551,258.909199112558,1336,629,1336,2.71913370194985,0,
65,ppa_exhaustive,False,grid_5_5,3,1 12 4,0,13 1 12 4,ppa_exhaustive_grid_5_5_3_0,20000,True,267.633559288142,132.653681763647,293.344012149951,2495,487,2495,2.49836850532115,0,
66,ppa_exhaustive,False,cair,2,cluster_1563324002_1563324346 1563324353,0,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,ppa_exhaustive_cair_50_0,20000,True,156.869386111111,69.8449125,181.733521428571,1417,332,1417,3.07288415894836,0,
67,ppa_exhaustive,False,cair,3,cluster_1563324004_1563324334 cluster_1563324002_1563324346 1563324349,0,1563324324 cluster_1563324002_1563324346 cluster_1563324004_1563324334 1563324349 1154147728 1563324357,ppa_exhaustive_cair_95_0,20000,True,137.628115816431,52.5946036031532,180.144871923071,1113,436,1113,3.80045209353756,0,
68,ppa_exhaustive,False,cair,2,1563324336 1154147727,0,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,ppa_exhaustive_cair_18_0,20000,True,240.137970420022,122.38898504327,285.426041718773,1502,511,1502,2.51225030749714,0,
69,ppa_exhaustive,False,cair,1,1563324324,0,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,ppa_exhaustive_cair_49_0,20000,True,221.721877691645,96.4805451362841,257.505115564605,1440,343,1440,3.03544749803978,0,
70,ppa_exhaustive,False,grid_5_5,3,14 17 19,0,17 19 21 13 14,ppa_exhaustive_grid_5_5_43_0,20000,True,261.456324448667,188.82487373106,279.614187128069,3244,732,3244,1.6126861164652,0,
71,ppa_exhaustive,False,grid_5_5,2,10 23,0,10 15 24 18 2 23,ppa_exhaustive_grid_5_5_10_0,20000,True,358.151587682463,162.376891288409,419.975176017428,2853,516,2853,2.75890403602309,0,
72,ppa_exhaustive,False,grid_5_5,2,15 24,0,20 10 6 1 24 15,ppa_exhaustive_grid_5_5_46_0,20000,True,277.152529011605,124.009203681473,325.513579115857,2221,537,2221,3.00902761067977,0,
73,ppa_exhaustive,False,grid_5_5,1,12,0,13 1 12 4,ppa_exhaustive_grid_5_5_1_0,20000,True,372.428967587035,177.863645458183,409.489028944911,2642,535,2642,2.53230070118468,0,
74,ppa_exhaustive,False,grid_5_5,3,21 22 9,0,21 22 9 7 24,ppa_exhaustive_grid_5_5_79_0,20000,True,247.527118576285,102.635292941412,283.750074985003,1984,615,1984,3.13196722875572,0,
75,ppa_exhaustive,False,cair,4,cluster_1563324004_1563324334 cluster_1563324333_1563324337 1563324327 1563324343,0,1563324327 cluster_1563324333_1563324337 cluster_1563324004_1563324334 1563324343,ppa_exhaustive_cair_88_0,20000,True,100.482921368291,38.0059377968898,118.333488102977,874,244,874,4.45025531602589,0,
76,ppa_exhaustive,False,cair,1,1154147728,0,1563324343 cluster_1563324010_1563324356 1154147728 1563324324 1563324348,ppa_exhaustive_cair_53_0,20000,True,271.581644444444,110.05801,333.706119230769,1879,489,1879,3.17656980067949,0,
77,ppa_exhaustive,False,iitb,3,667357412 -266 -222,0,667357419 -266 667357412 4369058864 -222,ppa_exhaustive_iitb_31_0,20000,True,472.160780955714,177.205710285514,549.780536395241,5644,1169,5644,3.43334017981476,0,
78,ppa_exhaustive,False,iitb,3,668685374 667357401 cluster_-172_5366445082,0,4369058864 cluster_-172_5366445082 668685374 667357401,ppa_exhaustive_iitb_27_0,20000,True,568.47543475356,239.05637956706,634.35924579086,8438,1070,8438,2.83830890482558,0,
79,ppa_exhaustive,False,grid_5_5,4,21 13 14 19,0,17 19 21 13 14,ppa_exhaustive_grid_5_5_44_0,20000,True,219.517968406319,167.783963207359,232.451469706059,2251,741,2251,1.55871622863065,0,
